voc_trt_perd_itg_cd,voc_prod_sbt_id,voc_wjt_sorc_id,voc_type_itg_cd,voc_sttus_itg_cd,voc_trt_reslt_itg_cd,cust_clas_itg_cd,bprod_sbt_id,age_itg_cd,cont_sttus_itg_cd,new_date,opn_nfl_chg_date,cust_dtl_ctg_itg_cd,voc_trt_degr_div_itg_cd,voc_dupl_tmscnt,oos_cause_type_itg_cd,voc_trt_need_time_itg_cd,engt_cperd_type_itg_cd,engt_tgt_div_itg_cd,cont_fns_pam_date,voc_mis_pbls_yn,fclt_oos_yn,cust_snsry_base_conf_need_time,trm_yn
10000,1001027747,360,10009,10002,_,L,1000737200,39,10001,20181031,20181031,10002,20001,0,_,10001,15097,15244,20211031,N,_,0,N
_,1001061191,3840,10009,10002,_,O,1001060911,32,10001,20171014,20171014,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001044841,128,10009,10002,_,_,-998,_,_,10101,10101,_,20002,0,_,10002,_,_,99991231,N,_,0,N
_,1001060659,3086,10009,10002,_,G,1001059435,13,10001,20170920,20170920,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027746,2153,10009,10002,_,L,1001046523,54,10001,20170506,20170506,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000669263,190,10009,10002,_,G,1000258616,78,10001,20190129,20190129,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001047798,2126,10009,10002,_,G,1001046520,34,10001,20110121,20110121,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001047801,656,10009,10002,_,I,1001046523,22,10001,20140818,20140818,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001061189,128,10009,10002,_,L,1001060909,27,10001,20181015,20181015,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10003,1001027747,155,10007,10002,_,_,1000737200,54,10001,20200410,20200410,10003,20002,0,_,10026,15097,15244,20230409,N,_,0,N
10000,1001047798,1035,10003,10002,_,F,1001046520,69,10001,20151219,20151219,10003,20002,0,_,10001,_,_,99991231,N,_,0,N
10000,1001047801,360,10009,10002,_,G,1001046523,29,10001,20200321,20200321,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001047798,2056,10009,10002,_,L,1001046520,48,10003,20200314,20200314,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001028473,734,10003,10002,_,L,1000851643,51,10001,20130611,20130611,10003,20001,0,10761,10007,15098,15244,20200226,N,N,0,N
_,1001027746,2153,10009,10002,_,L,1000767884,37,10001,20151105,20151105,90024,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000669264,1890,10009,10002,_,G,1000258618,72,10001,20190920,20200319,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001047799,3086,10009,10002,_,I,1001046521,36,10001,20140115,20140115,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027819,2153,10009,10002,_,G,1000001126,_,10002,20151202,20151202,90029,20001,0,_,10001,_,_,99991231,N,_,0,Y
_,1001047801,1890,10009,10002,_,L,1001046523,41,10001,20161021,20170719,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027819,3094,10009,10002,_,G,1000720809,51,10001,20160621,20160621,10003,20001,0,_,10001,15097,15244,20190620,N,_,0,N
10000,1000675279,2125,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001044841,3434,10009,10002,10081,L,1001044103,38,10001,20180327,20180327,10002,20001,0,_,10001,15097,15244,20210326,N,_,0,N
10000,1001060659,2153,10009,10002,_,G,1001059435,13,10001,20170824,20170824,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027747,294,10009,10002,_,L,1000737200,47,10001,20170908,20170908,90029,20001,0,_,10001,15097,15244,20200907,N,_,0,N
10000,1001044841,2153,10009,10002,_,L,1000767882,37,10001,20110627,20110627,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027836,190,10009,10002,_,J,1000767883,65,10001,20160504,20160504,10019,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000779300,128,10009,10002,_,O,1001060911,46,10001,20160120,20160120,10019,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027746,127,10009,10002,_,G,1000702598,39,10007,10101,10101,10003,20001,0,_,10001,15097,15244,20230410,N,_,0,N
10000,-998,1519,10003,10002,_,F,1000851881,60,10001,20140410,20140410,10003,20001,0,10237,10001,15098,15244,20230409,_,N,0,N
_,1000820819,2174,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000665328,589,10009,10002,_,I,1000001126,55,10001,20060922,20060922,90029,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001061190,2266,10009,10002,_,L,1001060910,32,10001,20101103,20190610,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000670996,190,10009,10002,_,F,1000461777,75,10001,20171221,20171221,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001047799,2153,10009,10002,_,L,1001046521,37,10001,20140611,20140611,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027710,3811,10009,10002,_,G,1000002530,71,10003,20110520,20110520,10003,20001,0,_,10001,15097,15249,20151019,N,_,0,N
_,1000669245,3686,10009,10002,10026,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000784644,312,10009,10002,_,F,1000784228,21,10003,20171108,20171108,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000784644,363,10009,10002,_,G,1000784228,77,10001,20060109,20101110,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001028573,2393,10009,10002,_,I,1000851881,72,10001,20150918,20150918,10003,20001,0,_,10001,15098,15244,20210921,N,_,0,N
_,1001027747,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10001,1001027747,155,10007,10002,_,F,1000737200,27,10005,20200407,20200407,10002,20002,0,_,10011,15097,15244,20230406,N,_,1,N
_,1001027710,2153,10009,10002,_,G,1000002530,87,10001,20040719,20040719,10003,20001,0,_,10001,15098,15244,20160720,N,_,0,N
10000,1001027747,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001034209,329,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000665328,329,10009,10002,_,G,1000001126,69,10001,19860114,19860114,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001033344,3783,10009,10002,_,_,1001033311,_,10001,20181215,20181215,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001047801,2153,10009,10002,_,L,1001046523,63,10001,20070711,20070711,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000763389,2174,10009,10002,_,I,1000748648,68,10001,20010614,20011128,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001047801,2153,10009,10002,_,L,1001046523,40,10001,20091201,20091201,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001047799,656,10009,10002,_,G,1001046521,49,10001,20180410,20180410,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000787867,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10001,1001027747,2575,10011,10002,_,L,1000737200,34,10005,20151209,20151209,10003,20001,0,_,10011,15097,15244,20200226,N,_,0,N
_,1000665328,312,10009,10002,_,L,1000001126,56,10001,20050412,20050412,90029,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001028573,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027819,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027747,3527,10009,10002,10081,L,1000737200,32,10001,20170519,20170519,10002,20001,0,_,10001,15097,15277,20230409,N,_,0,N
10000,1001028488,2285,10011,10002,_,G,1000851716,24,10001,20190320,20190320,10003,20001,0,_,10007,15097,15244,20220319,N,_,0,N
_,1001047798,2125,10009,10002,_,L,1001046520,63,10001,20191007,20191007,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000665328,1646,10003,10002,_,F,1000001126,_,10001,20010928,20010928,90029,20001,0,10258,10005,_,_,99991231,N,N,0,N
_,1000665328,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001047799,2126,10009,10002,_,G,1001046521,48,10001,20200407,20200407,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001044841,155,10007,10002,_,G,1001044103,54,10001,20200409,20200409,10002,20002,0,_,10001,15097,15244,20230408,N,_,0,N
10000,1001044841,2285,10011,10002,_,G,1001044103,38,10001,20181018,20181018,10003,20001,0,_,10002,15097,15244,20211017,N,_,0,N
_,1001047801,3614,10009,10002,10010,L,1001046523,33,10001,20131031,20131031,10003,20002,0,_,10001,_,_,99991231,N,_,0,N
10000,1001028573,3412,10009,10002,10081,I,1000851881,53,10001,20181106,20181106,10003,20001,0,_,10001,15097,15244,20211105,N,_,0,Y
_,1001047801,325,10009,10002,_,I,1001046523,26,10001,20161213,20161213,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001028565,1572,10003,10002,_,I,1000851873,71,10001,20190117,20190117,10002,20001,0,10242,10002,15097,15244,20220116,N,N,0,N
10000,1001028567,2049,10007,10002,_,F,1000851875,75,10005,20200410,20200410,10002,20002,0,_,10002,15097,15244,20230412,N,_,0,N
10000,1000665328,2055,10007,10002,_,F,1000001126,55,10001,20130801,20130801,10003,20002,0,_,10003,_,_,99991231,N,_,0,N
_,1001047799,3086,10009,10002,_,I,1001046521,42,10001,20110119,20110119,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000784644,1890,10009,10002,_,G,1000784228,61,10001,20160329,20160329,90027,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001047801,329,10009,10002,_,L,1001046523,35,10001,20180702,20180702,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027836,3429,10009,10002,10082,L,1000003205,67,10001,20100803,20100803,10003,20001,0,_,10001,15098,15244,20161113,N,_,0,N
_,1001047801,2126,10009,10002,_,L,1001046520,54,10001,20150521,20150521,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000779249,298,10009,10002,_,F,1000748612,24,10001,20140903,20140903,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000670295,128,10009,10002,_,I,1000784228,61,10001,20171108,20171108,10019,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001033344,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10001,1001054415,289,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10009,_,_,99991231,N,_,0,N
_,1001028573,660,10009,10002,_,L,1000851881,57,10001,20181019,20181019,10002,20001,0,_,10001,15097,15244,20211018,N,_,0,N
10000,1001028566,155,10009,10002,_,J,1000002356,62,10001,20010501,20010501,10002,20001,0,_,10001,15097,15249,20150326,N,_,0,N
10000,1001027747,360,10009,10002,_,L,1000737200,25,10001,20171130,20171130,10003,20001,0,_,10001,15097,15244,20201130,N,_,0,N
10000,1001047801,3614,10009,10002,10009,L,1001046523,47,10001,20180710,20180710,90030,20002,0,_,10001,_,_,99991231,N,_,0,N
10000,1000787867,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000665499,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027746,289,10009,10002,_,J,1000702598,53,10001,20200410,20200410,10003,20001,0,_,10001,15097,15244,20230409,N,_,0,N
10000,1001028565,329,10009,10002,_,G,1000851873,30,10001,20150121,20150121,10003,20001,0,_,10001,15097,15244,20180120,N,_,0,N
_,1001027747,1561,10009,10002,_,J,1000737200,62,10001,20170615,20170615,90029,20001,0,10269,10001,15097,15244,20200614,N,N,0,N
10000,1001047799,2153,10009,10002,_,F,1001046521,41,10001,20170825,20170825,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000667834,2174,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000665328,2174,10009,10002,_,G,1000001126,59,10001,19880204,19880204,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027747,2153,10009,10002,_,L,1000002571,47,10001,20150614,20150614,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001061189,2064,10009,10002,_,L,1001060909,40,10001,20131028,20131028,10019,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001028565,3850,10009,10002,_,J,1000851873,65,10001,20151021,20151021,10003,20001,0,_,10001,15097,15244,20181020,N,_,0,N
10000,1001047798,3086,10009,10002,_,L,1001046520,70,10001,20160311,20200220,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000665328,2074,10009,10002,_,J,1000001126,56,10001,19920218,19920218,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001047801,329,10009,10002,_,L,1001046523,31,10001,20110315,20110315,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027747,3851,10009,10002,_,I,1000737200,_,10001,20170603,20170603,10019,20001,0,_,10001,15097,15277,20230406,N,_,0,N
10000,1000665328,2106,10009,10002,10082,L,1000001126,57,10001,19820719,19820719,90029,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027746,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001054412,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027746,2048,10009,10002,_,L,1000702598,37,10001,20181026,20181026,90029,20001,0,10268,10001,15097,15244,20211025,N,N,0,N
_,1000784644,3086,10009,10002,_,I,1000784228,39,10001,20180405,20180405,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001028710,379,10009,10002,_,I,1000852214,57,10001,20130123,20130123,10002,20001,0,10270,10001,15098,15244,20210628,N,N,0,N
_,1001027747,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000781559,2153,10009,10002,_,L,1001046523,39,10001,20141226,20141226,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001028565,3321,10009,10002,10080,I,1000851873,66,10003,20160415,20160415,90029,20001,0,_,10001,15098,15244,20220414,N,_,0,N
_,1001044841,2064,10009,10002,_,F,1001044103,59,10001,20200402,20200402,10002,20001,0,_,10001,15097,15244,20230401,N,_,0,N
10000,1000784644,329,10009,10002,_,I,1000784228,71,10001,20180321,20180321,90024,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027747,341,10009,10002,_,L,1000737200,44,10002,20180709,20180709,10002,20001,0,_,10001,15097,15244,20210817,N,_,0,N
10000,1001028565,1574,10003,10002,_,_,1000851873,_,10001,20160330,20160330,90027,20001,0,10258,10001,15098,15244,20220521,N,N,0,N
_,1001047799,314,10009,10002,_,G,1001046521,54,10001,20151113,20151113,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001065503,312,10009,10002,_,J,1001065470,22,10001,20170515,20170515,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000665328,3321,10009,10002,10081,L,1000001126,41,10001,20150401,20150401,90029,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027819,725,10003,10002,_,I,1000720809,_,10001,20170330,20170330,90029,20001,0,10242,10004,15097,15244,20200329,N,N,0,N
_,1001045303,2174,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001061190,2153,10009,10002,_,L,1001060910,43,10001,20170403,20170403,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000670159,2174,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001061190,2064,10009,10002,_,L,1001060910,49,10001,20060109,20060814,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001076887,2153,10009,10002,_,J,1001076319,54,10001,20171027,20171027,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001028488,1574,10003,10002,_,F,1000851716,47,10001,20100119,20100119,10003,20001,0,10231,10001,15097,15244,20130118,N,N,0,N
10000,1001027859,2153,10009,10002,_,I,1000003261,61,10001,20150324,20150324,10003,20001,0,_,10001,15099,15244,20200713,N,_,0,N
10000,-998,1519,10003,10002,_,F,1000001126,40,10001,20200407,20200407,10003,20001,0,10242,10001,_,_,99991231,_,N,0,N
10000,1001027746,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000665328,277,10009,10002,_,G,1000001126,47,10001,20091203,20091203,90029,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001028573,1578,10009,10002,_,I,1000851881,55,10001,20080718,20080718,10002,20001,0,_,10001,15098,15244,20180123,N,_,0,N
10001,1001028565,2393,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10011,_,_,99991231,N,_,0,N
_,1001028567,377,10009,10002,_,J,1000851875,53,10001,20170726,20170726,10002,20001,0,_,10001,15097,15244,20200726,N,_,0,N
10000,1000665328,2153,10009,10002,_,L,1000001126,72,10001,19911226,19911226,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000792727,2177,10009,10003,_,L,1001046523,53,10001,20161013,20161013,10003,20002,0,_,10038,_,_,99991231,N,_,0,N
_,1001028567,312,10009,10002,_,L,1000851875,61,10001,20170621,20170621,10003,20001,0,_,10001,15097,15244,20200621,N,_,0,N
_,1000787867,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001036914,661,10009,10002,_,L,1001036517,40,10001,20071218,20071218,10003,20001,0,_,10001,15098,15244,20171012,N,_,0,N
10000,1000823091,329,10009,10002,_,L,1001049617,29,10001,20060529,20060529,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000669263,190,10009,10002,_,I,1000258616,75,10001,20160219,20160219,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000665328,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001028567,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1000665328,1883,10003,10002,_,G,1000001126,41,10001,20151203,20151203,10003,20001,0,_,10001,_,_,99991231,N,N,0,N
10000,1001028545,2393,10009,10002,_,L,1000851822,44,10001,20100109,20100109,10003,20001,0,_,10001,15098,15244,20180309,N,_,0,N
_,1000711733,190,10009,10002,_,G,1001046521,58,10001,20191104,20191104,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001047798,3086,10009,10002,_,I,1001046520,51,10001,20091214,20091214,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001054977,2126,10009,10005,_,I,1001054338,20,10001,20130626,20130626,10003,20001,0,_,10038,_,_,99991231,N,_,0,N
_,1000665328,325,10009,10002,_,_,1000001126,_,10005,20150216,20150216,90027,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001047799,3614,10009,10002,10009,L,1001046521,58,10001,20050218,20090717,10019,20002,0,_,10006,_,_,99991231,N,_,1,N
_,1001027819,3257,10009,10002,10026,J,1000720809,61,10001,20170410,20170410,10003,20001,0,_,10001,15097,15244,20200409,N,_,0,Y
_,1001027819,2153,10009,10002,_,I,1000720809,26,10005,20150818,20150818,90029,20001,0,_,10001,15097,15244,20180817,N,_,0,N
10000,1000811110,325,10009,10002,_,L,1000809142,48,10001,20180219,20180219,10019,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001061191,2153,10009,10002,_,O,1001060911,52,10001,20110407,20110407,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000784644,2056,10009,10002,_,F,1000784228,49,10001,20140102,20140102,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027747,2174,10009,10002,_,L,1000737200,49,10001,20181010,20181010,90029,20001,0,_,10001,15097,15244,20211009,N,_,0,N
10000,1001028021,466,10009,10002,_,J,1000767881,37,10001,20140827,20140827,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000665328,2142,10009,10002,_,_,1000002530,_,10001,20110921,20110921,90056,20001,0,_,10001,15097,15244,20140920,N,_,0,N
10000,1001047802,2064,10009,10002,_,G,1001046524,54,10001,20200317,20200317,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001047801,2153,10009,10002,_,L,1001046523,35,10001,20180127,20180127,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027747,2049,10007,10002,_,G,1001044103,57,10007,10101,10101,90029,20002,0,_,10001,15097,15244,20230424,N,_,0,N
_,1001028573,2106,10009,10002,10098,L,1000851881,39,10001,20160213,20160213,10002,20001,0,_,10001,15097,15244,20190212,N,_,0,N
10000,1000665328,1646,10003,10002,_,F,1000001126,79,10001,19880711,19880711,10003,20001,0,10241,10001,_,_,99991231,N,N,0,N
10000,1000763389,3086,10009,10002,_,G,1000748648,52,10001,20140526,20140526,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001028565,379,10009,10002,_,G,1000851873,52,10001,20180921,20180921,10002,20001,0,10270,10001,15097,15244,20210920,N,N,0,N
_,1000672028,661,10009,10002,_,L,1001040769,66,10001,20130123,20130123,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001044841,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027747,1631,10003,10002,_,L,1000737200,43,10001,20150319,20150319,10002,20001,0,10242,10002,15097,15277,20220925,N,N,0,N
10000,1000672028,661,10009,10002,_,L,1001060910,39,10001,20190725,20190725,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001028473,1885,10003,10002,_,I,1000851643,32,10001,20141201,20141201,10003,20001,0,10761,10001,15098,15244,20200603,N,N,0,N
_,1000787867,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1001027859,463,10009,10002,_,I,1000003261,51,10005,20130315,20130315,90029,20001,0,_,10001,_,_,20150314,N,_,0,N
_,1001027747,1636,10009,10002,_,L,1000737200,37,10001,20180729,20180729,10002,20001,0,_,10001,15097,15244,20210728,N,_,0,N
10000,1001027747,2105,10009,10002,10081,G,1000737200,65,10001,20001012,20001012,90029,20001,0,_,10001,15097,15244,20200509,N,_,0,N
10000,1001027747,1636,10003,10002,_,G,1000737200,58,10001,20180419,20190712,90029,20001,0,10242,10005,15097,15244,20210418,N,N,0,N
_,1001027746,2153,10009,10002,_,_,-998,_,_,10101,10101,_,20001,0,_,10001,_,_,99991231,N,_,0,N
_,1000781555,2153,10009,10002,_,I,1000767881,21,10001,20120723,20120723,10003,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027747,2153,10009,10002,_,J,1001046520,39,10001,20170816,20170816,10019,20001,0,_,10001,_,_,99991231,N,_,0,N
10000,1001027746,155,10007,10002,_,G,1000702598,_,10001,20200406,20200406,90029,20002,0,_,10008,15097,15244,20230405,N,_,1,N
10000,1001027747,3303,10009,10002,10081,G,1000737200,68,10001,20150401,20150401,10003,20001,0,_,10001,15097,15249,20210425,N,_,0,N
10000,1001027747,2106,10009,10002,10082,J,1000737200,65,10001,20150120,20150120,10003,20001,0,_,10001,15097,15244,20180119,N,_,0,N
