sensor,agg,axis,feature_name
tBodyGyro,correlation(),"X,Y","tBodyGyro-correlation()-X,Y"
tBodyGyro,correlation(),"X,Z","tBodyGyro-correlation()-X,Z"
tBodyGyro,correlation(),"Y,Z","tBodyGyro-correlation()-Y,Z"
tBodyGyroJerk,mean(),X,tBodyGyroJerk-mean()-X
tBodyGyroJerk,mean(),Y,tBodyGyroJerk-mean()-Y
tBodyGyroJerk,mean(),Z,tBodyGyroJerk-mean()-Z
tBodyGyroJerk,std(),X,tBodyGyroJerk-std()-X
tBodyGyroJerk,std(),Y,tBodyGyroJerk-std()-Y
tBodyGyroJerk,std(),Z,tBodyGyroJerk-std()-Z
tBodyGyroJerk,mad(),X,tBodyGyroJerk-mad()-X
tBodyGyroJerk,mad(),Y,tBodyGyroJerk-mad()-Y
tBodyGyroJerk,mad(),Z,tBodyGyroJerk-mad()-Z
tBodyGyroJerk,max(),X,tBodyGyroJerk-max()-X
tBodyGyroJerk,max(),Y,tBodyGyroJerk-max()-Y
tBodyGyroJerk,max(),Z,tBodyGyroJerk-max()-Z
tBodyGyroJerk,min(),X,tBodyGyroJerk-min()-X
tBodyGyroJerk,min(),Y,tBodyGyroJerk-min()-Y
tBodyGyroJerk,min(),Z,tBodyGyroJerk-min()-Z
tBodyGyroJerk,sma(),,tBodyGyroJerk-sma()
tBodyGyroJerk,energy(),X,tBodyGyroJerk-energy()-X
tBodyGyroJerk,energy(),Y,tBodyGyroJerk-energy()-Y
tBodyGyroJerk,energy(),Z,tBodyGyroJerk-energy()-Z
tBodyGyroJerk,iqr(),X,tBodyGyroJerk-iqr()-X
tBodyGyroJerk,iqr(),Y,tBodyGyroJerk-iqr()-Y
tBodyGyroJerk,iqr(),Z,tBodyGyroJerk-iqr()-Z
tBodyGyroJerk,entropy(),X,tBodyGyroJerk-entropy()-X
tBodyGyroJerk,entropy(),Y,tBodyGyroJerk-entropy()-Y
tBodyGyroJerk,entropy(),Z,tBodyGyroJerk-entropy()-Z
tBodyGyroJerk,arCoeff(),"X,1","tBodyGyroJerk-arCoeff()-X,1"
tBodyGyroJerk,arCoeff(),"X,2","tBodyGyroJerk-arCoeff()-X,2"
tBodyGyroJerk,arCoeff(),"X,3","tBodyGyroJerk-arCoeff()-X,3"
tBodyGyroJerk,arCoeff(),"X,4","tBodyGyroJerk-arCoeff()-X,4"
tBodyGyroJerk,arCoeff(),"Y,1","tBodyGyroJerk-arCoeff()-Y,1"
tBodyGyroJerk,arCoeff(),"Y,2","tBodyGyroJerk-arCoeff()-Y,2"
tBodyGyroJerk,arCoeff(),"Y,3","tBodyGyroJerk-arCoeff()-Y,3"
tBodyGyroJerk,arCoeff(),"Y,4","tBodyGyroJerk-arCoeff()-Y,4"
tBodyGyroJerk,arCoeff(),"Z,1","tBodyGyroJerk-arCoeff()-Z,1"
tBodyGyroJerk,arCoeff(),"Z,2","tBodyGyroJerk-arCoeff()-Z,2"
tBodyGyroJerk,arCoeff(),"Z,3","tBodyGyroJerk-arCoeff()-Z,3"
tBodyGyroJerk,arCoeff(),"Z,4","tBodyGyroJerk-arCoeff()-Z,4"
tBodyGyroJerk,correlation(),"X,Y","tBodyGyroJerk-correlation()-X,Y"
tBodyGyroJerk,correlation(),"X,Z","tBodyGyroJerk-correlation()-X,Z"
tBodyGyroJerk,correlation(),"Y,Z","tBodyGyroJerk-correlation()-Y,Z"
tBodyAccMag,mean(),,tBodyAccMag-mean()
tBodyAccMag,std(),,tBodyAccMag-std()
tBodyAccMag,mad(),,tBodyAccMag-mad()
tBodyAccMag,max(),,tBodyAccMag-max()
tBodyAccMag,min(),,tBodyAccMag-min()
tBodyAccMag,sma(),,tBodyAccMag-sma()
tBodyAccMag,energy(),,tBodyAccMag-energy()
tBodyAccMag,iqr(),,tBodyAccMag-iqr()
tBodyAccMag,entropy(),,tBodyAccMag-entropy()
tBodyAccMag,arCoeff()1,,tBodyAccMag-arCoeff()1
tBodyAccMag,arCoeff()2,,tBodyAccMag-arCoeff()2
tBodyAccMag,arCoeff()3,,tBodyAccMag-arCoeff()3
tBodyAccMag,arCoeff()4,,tBodyAccMag-arCoeff()4
tGravityAccMag,mean(),,tGravityAccMag-mean()
tGravityAccMag,std(),,tGravityAccMag-std()
tGravityAccMag,mad(),,tGravityAccMag-mad()
tGravityAccMag,max(),,tGravityAccMag-max()
tGravityAccMag,min(),,tGravityAccMag-min()
tGravityAccMag,sma(),,tGravityAccMag-sma()
tGravityAccMag,energy(),,tGravityAccMag-energy()
tGravityAccMag,iqr(),,tGravityAccMag-iqr()
tGravityAccMag,entropy(),,tGravityAccMag-entropy()
tGravityAccMag,arCoeff()1,,tGravityAccMag-arCoeff()1
tGravityAccMag,arCoeff()2,,tGravityAccMag-arCoeff()2
tGravityAccMag,arCoeff()3,,tGravityAccMag-arCoeff()3
tGravityAccMag,arCoeff()4,,tGravityAccMag-arCoeff()4
tBodyAccJerkMag,mean(),,tBodyAccJerkMag-mean()
tBodyAccJerkMag,std(),,tBodyAccJerkMag-std()
tBodyAccJerkMag,mad(),,tBodyAccJerkMag-mad()
tBodyAccJerkMag,max(),,tBodyAccJerkMag-max()
tBodyAccJerkMag,min(),,tBodyAccJerkMag-min()
tBodyAccJerkMag,sma(),,tBodyAccJerkMag-sma()
tBodyAccJerkMag,energy(),,tBodyAccJerkMag-energy()
tBodyAccJerkMag,iqr(),,tBodyAccJerkMag-iqr()
tBodyAccJerkMag,entropy(),,tBodyAccJerkMag-entropy()
tBodyAccJerkMag,arCoeff()1,,tBodyAccJerkMag-arCoeff()1
tBodyAccJerkMag,arCoeff()2,,tBodyAccJerkMag-arCoeff()2
tBodyAccJerkMag,arCoeff()3,,tBodyAccJerkMag-arCoeff()3
tBodyAccJerkMag,arCoeff()4,,tBodyAccJerkMag-arCoeff()4
tBodyGyroMag,mean(),,tBodyGyroMag-mean()
tBodyGyroMag,std(),,tBodyGyroMag-std()
tBodyGyroMag,mad(),,tBodyGyroMag-mad()
tBodyGyroMag,max(),,tBodyGyroMag-max()
tBodyGyroMag,min(),,tBodyGyroMag-min()
tBodyGyroMag,sma(),,tBodyGyroMag-sma()
tBodyGyroMag,energy(),,tBodyGyroMag-energy()
tBodyGyroMag,iqr(),,tBodyGyroMag-iqr()
tBodyGyroMag,entropy(),,tBodyGyroMag-entropy()
tBodyGyroMag,arCoeff()1,,tBodyGyroMag-arCoeff()1
tBodyGyroMag,arCoeff()2,,tBodyGyroMag-arCoeff()2
tBodyGyroMag,arCoeff()3,,tBodyGyroMag-arCoeff()3
tBodyGyroMag,arCoeff()4,,tBodyGyroMag-arCoeff()4
tBodyGyroJerkMag,mean(),,tBodyGyroJerkMag-mean()
tBodyGyroJerkMag,std(),,tBodyGyroJerkMag-std()
tBodyGyroJerkMag,mad(),,tBodyGyroJerkMag-mad()
tBodyGyroJerkMag,max(),,tBodyGyroJerkMag-max()
tBodyGyroJerkMag,min(),,tBodyGyroJerkMag-min()
tBodyGyroJerkMag,sma(),,tBodyGyroJerkMag-sma()
tBodyGyroJerkMag,energy(),,tBodyGyroJerkMag-energy()
tBodyGyroJerkMag,iqr(),,tBodyGyroJerkMag-iqr()
tBodyGyroJerkMag,entropy(),,tBodyGyroJerkMag-entropy()
tBodyGyroJerkMag,arCoeff()1,,tBodyGyroJerkMag-arCoeff()1
tBodyGyroJerkMag,arCoeff()2,,tBodyGyroJerkMag-arCoeff()2
tBodyGyroJerkMag,arCoeff()3,,tBodyGyroJerkMag-arCoeff()3
tBodyGyroJerkMag,arCoeff()4,,tBodyGyroJerkMag-arCoeff()4
fBodyAcc,mean(),X,fBodyAcc-mean()-X
fBodyAcc,mean(),Y,fBodyAcc-mean()-Y
fBodyAcc,mean(),Z,fBodyAcc-mean()-Z
fBodyAcc,std(),X,fBodyAcc-std()-X
fBodyAcc,std(),Y,fBodyAcc-std()-Y
fBodyAcc,std(),Z,fBodyAcc-std()-Z
fBodyAcc,mad(),X,fBodyAcc-mad()-X
fBodyAcc,mad(),Y,fBodyAcc-mad()-Y
fBodyAcc,mad(),Z,fBodyAcc-mad()-Z
fBodyAcc,max(),X,fBodyAcc-max()-X
fBodyAcc,max(),Y,fBodyAcc-max()-Y
fBodyAcc,max(),Z,fBodyAcc-max()-Z
fBodyAcc,min(),X,fBodyAcc-min()-X
fBodyAcc,min(),Y,fBodyAcc-min()-Y
fBodyAcc,min(),Z,fBodyAcc-min()-Z
fBodyAcc,sma(),,fBodyAcc-sma()
fBodyAcc,energy(),X,fBodyAcc-energy()-X
fBodyAcc,energy(),Y,fBodyAcc-energy()-Y
fBodyAcc,energy(),Z,fBodyAcc-energy()-Z
fBodyAcc,iqr(),X,fBodyAcc-iqr()-X
fBodyAcc,iqr(),Y,fBodyAcc-iqr()-Y
fBodyAcc,iqr(),Z,fBodyAcc-iqr()-Z
fBodyAcc,entropy(),X,fBodyAcc-entropy()-X
fBodyAcc,entropy(),Y,fBodyAcc-entropy()-Y
fBodyAcc,entropy(),Z,fBodyAcc-entropy()-Z
fBodyAcc,maxInds,X,fBodyAcc-maxInds-X
fBodyAcc,maxInds,Y,fBodyAcc-maxInds-Y
fBodyAcc,maxInds,Z,fBodyAcc-maxInds-Z
fBodyAcc,meanFreq(),X,fBodyAcc-meanFreq()-X
fBodyAcc,meanFreq(),Y,fBodyAcc-meanFreq()-Y
fBodyAcc,meanFreq(),Z,fBodyAcc-meanFreq()-Z
fBodyAcc,skewness(),X,fBodyAcc-skewness()-X
fBodyAcc,kurtosis(),X,fBodyAcc-kurtosis()-X
fBodyAcc,skewness(),Y,fBodyAcc-skewness()-Y
fBodyAcc,kurtosis(),Y,fBodyAcc-kurtosis()-Y
fBodyAcc,skewness(),Z,fBodyAcc-skewness()-Z
fBodyAcc,kurtosis(),Z,fBodyAcc-kurtosis()-Z
fBodyAcc,bandsEnergy(),"1,8","fBodyAcc-bandsEnergy()-1,8"
fBodyAcc,bandsEnergy(),"9,16","fBodyAcc-bandsEnergy()-9,16"
fBodyAcc,bandsEnergy(),"17,24","fBodyAcc-bandsEnergy()-17,24"
fBodyAcc,bandsEnergy(),"25,32","fBodyAcc-bandsEnergy()-25,32"
fBodyAcc,bandsEnergy(),"33,40","fBodyAcc-bandsEnergy()-33,40"
fBodyAcc,bandsEnergy(),"41,48","fBodyAcc-bandsEnergy()-41,48"
fBodyAcc,bandsEnergy(),"49,56","fBodyAcc-bandsEnergy()-49,56"
fBodyAcc,bandsEnergy(),"57,64","fBodyAcc-bandsEnergy()-57,64"
fBodyAcc,bandsEnergy(),"1,16","fBodyAcc-bandsEnergy()-1,16"
fBodyAcc,bandsEnergy(),"17,32","fBodyAcc-bandsEnergy()-17,32"
fBodyAcc,bandsEnergy(),"33,48","fBodyAcc-bandsEnergy()-33,48"
fBodyAcc,bandsEnergy(),"49,64","fBodyAcc-bandsEnergy()-49,64"
fBodyAcc,bandsEnergy(),"1,24","fBodyAcc-bandsEnergy()-1,24"
fBodyAcc,bandsEnergy(),"25,48","fBodyAcc-bandsEnergy()-25,48"
fBodyAcc,bandsEnergy(),"1,8.1","fBodyAcc-bandsEnergy()-1,8.1"
fBodyAcc,bandsEnergy(),"9,16.1","fBodyAcc-bandsEnergy()-9,16.1"
fBodyAcc,bandsEnergy(),"17,24.1","fBodyAcc-bandsEnergy()-17,24.1"
fBodyAcc,bandsEnergy(),"25,32.1","fBodyAcc-bandsEnergy()-25,32.1"
fBodyAcc,bandsEnergy(),"33,40.1","fBodyAcc-bandsEnergy()-33,40.1"
fBodyAcc,bandsEnergy(),"41,48.1","fBodyAcc-bandsEnergy()-41,48.1"
fBodyAcc,bandsEnergy(),"49,56.1","fBodyAcc-bandsEnergy()-49,56.1"
fBodyAcc,bandsEnergy(),"57,64.1","fBodyAcc-bandsEnergy()-57,64.1"
fBodyAcc,bandsEnergy(),"1,16.1","fBodyAcc-bandsEnergy()-1,16.1"
fBodyAcc,bandsEnergy(),"17,32.1","fBodyAcc-bandsEnergy()-17,32.1"
fBodyAcc,bandsEnergy(),"33,48.1","fBodyAcc-bandsEnergy()-33,48.1"
fBodyAcc,bandsEnergy(),"49,64.1","fBodyAcc-bandsEnergy()-49,64.1"
fBodyAcc,bandsEnergy(),"1,24.1","fBodyAcc-bandsEnergy()-1,24.1"
fBodyAcc,bandsEnergy(),"25,48.1","fBodyAcc-bandsEnergy()-25,48.1"
fBodyAcc,bandsEnergy(),"1,8.2","fBodyAcc-bandsEnergy()-1,8.2"
fBodyAcc,bandsEnergy(),"9,16.2","fBodyAcc-bandsEnergy()-9,16.2"
fBodyAcc,bandsEnergy(),"17,24.2","fBodyAcc-bandsEnergy()-17,24.2"
fBodyAcc,bandsEnergy(),"25,32.2","fBodyAcc-bandsEnergy()-25,32.2"
fBodyAcc,bandsEnergy(),"33,40.2","fBodyAcc-bandsEnergy()-33,40.2"
fBodyAcc,bandsEnergy(),"41,48.2","fBodyAcc-bandsEnergy()-41,48.2"
fBodyAcc,bandsEnergy(),"49,56.2","fBodyAcc-bandsEnergy()-49,56.2"
fBodyAcc,bandsEnergy(),"57,64.2","fBodyAcc-bandsEnergy()-57,64.2"
fBodyAcc,bandsEnergy(),"1,16.2","fBodyAcc-bandsEnergy()-1,16.2"
fBodyAcc,bandsEnergy(),"17,32.2","fBodyAcc-bandsEnergy()-17,32.2"
fBodyAcc,bandsEnergy(),"33,48.2","fBodyAcc-bandsEnergy()-33,48.2"
fBodyAcc,bandsEnergy(),"49,64.2","fBodyAcc-bandsEnergy()-49,64.2"
fBodyAcc,bandsEnergy(),"1,24.2","fBodyAcc-bandsEnergy()-1,24.2"
fBodyAcc,bandsEnergy(),"25,48.2","fBodyAcc-bandsEnergy()-25,48.2"
fBodyAccJerk,mean(),X,fBodyAccJerk-mean()-X
fBodyAccJerk,mean(),Y,fBodyAccJerk-mean()-Y
fBodyAccJerk,mean(),Z,fBodyAccJerk-mean()-Z
fBodyAccJerk,std(),X,fBodyAccJerk-std()-X
fBodyAccJerk,std(),Y,fBodyAccJerk-std()-Y
fBodyAccJerk,std(),Z,fBodyAccJerk-std()-Z
fBodyAccJerk,mad(),X,fBodyAccJerk-mad()-X
fBodyAccJerk,mad(),Y,fBodyAccJerk-mad()-Y
fBodyAccJerk,mad(),Z,fBodyAccJerk-mad()-Z
fBodyAccJerk,max(),X,fBodyAccJerk-max()-X
fBodyAccJerk,max(),Y,fBodyAccJerk-max()-Y
fBodyAccJerk,max(),Z,fBodyAccJerk-max()-Z
fBodyAccJerk,min(),X,fBodyAccJerk-min()-X
fBodyAccJerk,min(),Y,fBodyAccJerk-min()-Y
fBodyAccJerk,min(),Z,fBodyAccJerk-min()-Z
fBodyAccJerk,sma(),,fBodyAccJerk-sma()
fBodyAccJerk,energy(),X,fBodyAccJerk-energy()-X
fBodyAccJerk,energy(),Y,fBodyAccJerk-energy()-Y
fBodyAccJerk,energy(),Z,fBodyAccJerk-energy()-Z
fBodyAccJerk,iqr(),X,fBodyAccJerk-iqr()-X
fBodyAccJerk,iqr(),Y,fBodyAccJerk-iqr()-Y
fBodyAccJerk,iqr(),Z,fBodyAccJerk-iqr()-Z
fBodyAccJerk,entropy(),X,fBodyAccJerk-entropy()-X
fBodyAccJerk,entropy(),Y,fBodyAccJerk-entropy()-Y
fBodyAccJerk,entropy(),Z,fBodyAccJerk-entropy()-Z
fBodyAccJerk,maxInds,X,fBodyAccJerk-maxInds-X
fBodyAccJerk,maxInds,Y,fBodyAccJerk-maxInds-Y
fBodyAccJerk,maxInds,Z,fBodyAccJerk-maxInds-Z
fBodyAccJerk,meanFreq(),X,fBodyAccJerk-meanFreq()-X
fBodyAccJerk,meanFreq(),Y,fBodyAccJerk-meanFreq()-Y
fBodyAccJerk,meanFreq(),Z,fBodyAccJerk-meanFreq()-Z
fBodyAccJerk,skewness(),X,fBodyAccJerk-skewness()-X
fBodyAccJerk,kurtosis(),X,fBodyAccJerk-kurtosis()-X
fBodyAccJerk,skewness(),Y,fBodyAccJerk-skewness()-Y
fBodyAccJerk,kurtosis(),Y,fBodyAccJerk-kurtosis()-Y
fBodyAccJerk,skewness(),Z,fBodyAccJerk-skewness()-Z
fBodyAccJerk,kurtosis(),Z,fBodyAccJerk-kurtosis()-Z
fBodyAccJerk,bandsEnergy(),"1,8","fBodyAccJerk-bandsEnergy()-1,8"
fBodyAccJerk,bandsEnergy(),"9,16","fBodyAccJerk-bandsEnergy()-9,16"
fBodyAccJerk,bandsEnergy(),"17,24","fBodyAccJerk-bandsEnergy()-17,24"
fBodyAccJerk,bandsEnergy(),"25,32","fBodyAccJerk-bandsEnergy()-25,32"
fBodyAccJerk,bandsEnergy(),"33,40","fBodyAccJerk-bandsEnergy()-33,40"
fBodyAccJerk,bandsEnergy(),"41,48","fBodyAccJerk-bandsEnergy()-41,48"
fBodyAccJerk,bandsEnergy(),"49,56","fBodyAccJerk-bandsEnergy()-49,56"
fBodyAccJerk,bandsEnergy(),"57,64","fBodyAccJerk-bandsEnergy()-57,64"
